symbol,source,headline,link,published_at,sentiment,confidence
BHARTIARTL.NS,Google News,"Rs 1.28 lakh cr - Dons of D-street! Reliance, Bharati Airtel and THESE big corporates gained the most money last week - ET Now",https://news.google.com/rss/articles/CBMi-AFBVV95cUxQd1ZTR2tJTFE3aFNKZjRJWGJ6TEtrdnJJN0VyQnZmTDktbVdNbGRTNUVDWFVEMnliNjhXd2ZhZWFsczIxUkZqajc3dWttWFRWNDlkX3dESko5UzdoTjVLU0NJLUx4X2ZlOGswOXNPNzA2VngtYWRhUy1QazBVSFlyV0lOdEs0M2RmbUVJNkZCNnltYnRmVFdORm5KQU84REtObEN1OGE3ZUxMRDYyVURyT1RraGJOWXVodHBqdlRaWVEzM3Z5UzBfQWlNUVdQR0RFMnZEaWhmOFpTMUhSbEJzeW1HV2dSRGxiSmdxcnpjOHMzYlBVa3Zxc9IB_gFBVV95cUxOLWE2a1dBQVhSSTNOaHo5NzRxdWkyTWV0Z3dwdWVMckQyc0ZnMTlIalZJWU5xSlQzOXFqUzZ5dHB2YllxRWNkTTFiTHZwWDRzWkdpeHkwM0NRdWlVX2dYazdIU3lfdFJCc2hhSkVpd2xDRVdXaDNiUXBWUzNXTkdTYm9QMFRJbFlZbW9KTnRZbGVSUG1tazlHd3VrNXZ2Z240UW5mMVZSV0MtMS1BS2FXQXpKZWMyUGRFMUxERE82SDR2X3k2MmxVUU1HcW9Td0xVbVpxTXFDS1dpbnA0bTBGUkk5Mk43VUp6QnNtaWR6TndGaFBQdFJMaVVPNlFNUQ?oc=5,2025-11-23 09:04:43,positive,0.6818161010742188
HDFCLIFE.NS,Google News,HDFC Life Insurance Company Limited (NSE:HDFCLIFE) Stock's Been Sliding But Fundamentals Look Decent: Will The Market Correct The Share Price In The Future? - simplywall.st,https://news.google.com/rss/articles/CBMi3wFBVV95cUxOOS1RT19OQ1liUmQyMXQ0dFJxZWtOcWVVa1QxSEdubjkzcER0ZkF1N0dsQmdjVFE4cVl3SjViaXh3cFZDZm1oWF81bldicVpZeGpZVVlVeTFjSE03X3NwbVZCM1IzY053cFdQa3l0a0lVQUFPY1h3M3ptR3Y0LTFSU1FJU3lBSG9wdElPakcwNDlqWVpEN3g3QmZNbEFLTzhLQTFySzF0RlVYalBZbW9TOHdRd1dsb29nOUVXeXV6ckdGTzJETzYzMlF6TU5HOFA0cEtIeFJDT2ltdUJleEx30gHkAUFVX3lxTFBLZElLZmJZT2RycnFtZmdJb2N4WkszSHhwODlscGllNmU2VU5pUHdUelh1cDQzVF9lMndPb2JzWHhJU2ExOFMwV0xWd2pmME8xMlFxWnhQb2kyYVotVWwzVmJnZzZlSXVhUEZtb2dKVEw1RTZIdk9TM3kwSGJEWDhhN19QRG1hS09GY2RsOUw3UjJpQTBJeE1nbFM2TElRVWFyZTRpQlpNdmotOEtlQkRqZXo0bFFKTmxvMWtRMVpMalVmVUNuMGhUMkpIU1h5UVg5SVhIbHE4VXBLS3d1Z01jVTdQZw?oc=5,2025-11-23 02:37:03,negative,0.866582453250885
INDUSINDBK.NS,Google News,IndusInd Bank Sees Notable Surge in Derivatives Open Interest Amid Rising Market Activity - Markets Mojo,https://news.google.com/rss/articles/CBMizAFBVV95cUxNQTJ3MkVxS0ZJNnFvb3F5bF9RMlpNSWNmX0E3NDE4MUJqSWpWdEppZVQtWlNqclp6NkFkMy1MUEpIbGxRa0lmd3BvVXNOZG5mUklza1VGZ2I5b1Q2SkdLM1RrZkFQaVQtTnpiSEpuZGFDMnBXeW5vRzk0V1RlNURSdkR1d3ZqU3B1aXZvSW9kVk1ZdFFSUGhYQlBvVFJFUjVmNDdPbVAwUzZCZTNVT1Z6ZGxQa1NEMllRbnNYZnQ3WjdqYWEzZFRKUTBMX1c?oc=5,2025-11-22 21:25:42,positive,0.9510106444358826
ITC.NS,Google News,ITC Ltd Sees Notable Surge in Derivatives Open Interest Amid Narrow Trading Range - Markets Mojo,https://news.google.com/rss/articles/CBMiwgFBVV95cUxOZi03cnU0aDZfX3h2WTJoa05WOWE2TEVnanM2bXpfNFJGS0VrZHRReGVMNVBCd0lmU3ZycGxxd2JQbHhQdlY4elA5Nm5kYzNBVWQtOURienlSOG1aOEdrbTdCMG5FeVZHM3ZpdnRNQ3BIdGZVYk8zMkhsQUFUcTg0c0dxWndXWnNGNVB4bHlrdExHeHFlSGlqX3lEeHhReGM3dzc2RkNQbU56amxUT3p5OGZrRDNrZy1ONG10NE96a0N1UQ?oc=5,2025-11-22 21:39:44,positive,0.9531195163726807
ITC.NS,Google News,Buy or sell: Sumeet Bagadia recommends three stocks to buy on Monday — 24 November 2025 - livemint.com,https://news.google.com/rss/articles/CBMi6gFBVV95cUxQZTJCNXEzSzQ2NHk3RDA5MmtBcVNQWmVfMXFYWHhiTGpGVmF6TThraTFBUjZkRi10V2lYN2wzbWZ5LW4xWGVST2JhU0NxMjdMLWc5dVJ1N1NTYjFTcjdNczFFSDNib180WDBOc3Z1RUktanp3MWpoLWVvajR0bFZIczRjeEY1ZnVQRUN6OW9ERHlWdHBEWmZ1d0NJakFHcjZHYzNXaEh5MXUyVmtGRnZma2pLRHJBenNZaG5jUjY1NUJfMmhRZ1ZKOHZvM3R3WHFrSmpJcUtoMFZITEkwY0FYQzl2WGhsOWdFVVHSAe8BQVVfeXFMTVFHQWdRNUZMaC1Nbk5PVnBSb0tjVFE4U0lLdG1YRDNzYmpMdndlVTdTZERVT1BKQTdydUNmbXEtelBTRzJxTjRQUE9aTmJCVTVxRDRIajVFS3BJUkpWV1FPaDlncVItMnptb3BqRlNHVFdiSkZBN1JnTHppak56UjJKSkxBaGVVek5lY1R5ajd6NndWdVd4MUJER09HRVdyZDF6Y2lGYlg4VWdBTkVnUVNGY21EOFZlMGFZYU9ZeV9EMldFeWJYSGtSV2ZrUnB5R0gzRGFxQXJyZ243Sm1aTUNldVBpTmd5dDM3N0xINVk?oc=5,2025-11-23 12:55:30,neutral,0.9365601539611816
KOTAKBANK.NS,Google News,Kotak Mahindra Bank Announces Share Split in 1:5 Ratio - India News Network,https://news.google.com/rss/articles/CBMinAFBVV95cUxQZXpDOUZqRFJuODFZekd4V0VqbjBWMTR5aXJER3hib2NfR2Q0TElqYVY2U09JWjFzUDc4a1hsbGdzR28wQlFLcmtzdi0wMkt4Rm16WFZOWTdid3lHLXU1aURiSW5id1hJeUFjLWhGeWJ6eWdnWWpqRTVwS1ZIRXJTdXBjdzJhY1FIN0NWOWxfMVBkbkhVdDZsa2dHOVo?oc=5,2025-11-22 19:52:20,neutral,0.9069112539291382
LTIM.NS,Google News,Opinion | Trump’s Proposed Ukraine ‘Deal’ Is a Disgrace - The New York Times,https://news.google.com/rss/articles/CBMijwFBVV95cUxQS0x4LWlWdFp5Q3JvQ09sMEhYTjhHalBqQ3IwZDdTQW8wd3BMVWpiUlVaQmhzM0dpdkJraEs0QklQd2NuR2RHdU9uMHNzRnBIbGt0RGY5LTNtc2dWaW5IZk1UaGpUMERESWJfbHRqYU9xZm5fdnlRS19hRndsMTZsOEt5SmJ3UzdOSFAtR3FEVQ?oc=5,2025-11-22 19:46:33,negative,0.8355969786643982
LTIM.NS,Google News,"2026 BYD Han L EV hits 701 km range, 2.7 s 0‑100 km/h from 27,400 USD - CarNewsChina.com",https://news.google.com/rss/articles/CBMisgFBVV95cUxOcnpBaVhYOHFCYTJERXJfUUVaVWNnbk1QQXNLRWhlbFF0eHJlS05uRWVBVkotemYyOU9hYTBXbzBHaEQ1Z2RnZGo3Z2xSS0RQekhFdkJhOGpPWi1QT2VydWJuMHhLVHEwODR3MW16NFl2MlRIOVN3ZTBMMnc3aHZWUjBWT0QzMEpTM3MxSU9mOFRuUE9xdFpIYl9OQTJIRW90akZjVzd3d29KcmNqZlpFUExn?oc=5,2025-11-22 14:19:00,positive,0.9141956567764282
LTIM.NS,Google News,Top 5 Biggest Int’l Bases of Largest Air Force in the World by Area - Aviation A2Z,https://news.google.com/rss/articles/CBMimAFBVV95cUxQbWtkQVVFYmYtTFIzMUR3Rm42YUdNQ2tSNnRNZGZRVko1dmdYUUljUUM5SXFZbEY3UHh4cHhjZFJPVTE4eG1qM2NzREowa2VsM1Vrd3FLX1FtWGFKSmt4RDJKRXA0RDFPU1F2QkRpaktrR2Z2N1gwZDhOU09ibHk1d2UtZV9qQmF0SmZLcS1KN1FIbU9zVVB6LQ?oc=5,2025-11-22 21:13:00,neutral,0.7996739149093628
LTIM.NS,Google News,How to Get Limited W or L in Steal a Brainrot - Beebom,https://news.google.com/rss/articles/CBMic0FVX3lxTE96M3dUSkxtNUItNU9SU1pUamhkRmZkMHZsVGhDZG9lYnc2Y3NZbmZ6VzROWXp1UGF1TG5iUWhfcVFBNGJzeFZCSThuLWV2ckxKUWtvaGpUeFpTcUI3MEluX05nZkpKbTdwQjBGdlBCdmRRdVXSAXhBVV95cUxNRnpzaXdZMXVNNW1uWmY0RENHSDZQb3ZyMDROZ05iLVAtdDc1eFZuRzAtZGFBaXVTX2tmLW56dWZmZXd2MVNqQVcxdDlfLXZ3RS1wdFVLaHVNNGZwZUZnQ3E0UjVERXlhZS1VTjZOc0ZRejFJWnRnUGE?oc=5,2025-11-22 20:18:23,neutral,0.9268391728401184
LTIM.NS,Google News,Dhanush Reveals Why Aanand L Rai Keeps Casting Him In Intense Love Stories: 'Great Love Failure And Heartbroken Face' - ETV Bharat,https://news.google.com/rss/articles/CBMiggJBVV95cUxON2U0bnJKYTVLWnFwdVUtSUpQRlJoa3RzcFhYZ1Q5RXpjelp3dEFIZksxTXVSdTZWYjBuTUYtd25vX0lsUEtWbVhIbUt3ZnVFSS0zd1pXQnE2UWc4emVYdlAtY3BjRG8wTE5XRy1VeDBMV0lJU2FNU2syZTl0d0ZPMXFId2xNSEI3WVFtVHZxdk5JOGphS1RvNUMxUXhOTHY2VDZkR3BFd00wY1o4dm5ETUhtZmI0aDhkU0tVVVZGOWMxaFNPOXp2R0xMdTFQSzVFaVNaaTNmSkwwS3p1NUgzcmNQZENaZGtSdW8yN0Jpcm94eWZSZ2REZm15SDdRakxTRHfSAYcCQVVfeXFMUFdDX2R4S0hVdWNOU3VCeEkyTk1oWTE1c0pDY0JscWNuNFB1aE1VUDZzUko1VUdZeGo0S0x5Y08wZ29qc0tGQ3FhdlYwaVRHUm5VeDJjc1cyYXo2TU9yZUhRTkFBV01rcUktWFR5VEZ4U1F5ekJwM2VVUEc4WHctVm92ZmJEb0Z2TDNGNVZVS3VIMHZEN2VsYlB2bWYtbXBjdE5ESU5RUU8tNjgxM2pHZVQ2SUtiRGVJQjQ2MmcxQmNxeWhXWFJtelM1M3BIQkd4RlRHTjdIQzUzSUUzRnNpWV9Lc0xuNmpadm5YQmVlbW1fVzd1S0x2VlRaamJxSzYySm15dF9TeEE?oc=5,2025-11-23 10:41:22,neutral,0.8850542306900024
LTIM.NS,Google News,Vijay L. Bhambwani's Ticker: Watch tech stocks for guidance | Mint - livemint.com,https://news.google.com/rss/articles/CBMi2wFBVV95cUxOeEthUTBqOXBRSGpuSmlhLTBuOUVOZS1KRGg1R25KUVJTc0V6Z3A1MnRVQnQwckJIX0JzSGkydVY3dXN3VTE0dDVoMVlRQ1M4UHJWMFFSLWs3enhsMWJmSVBvR0pGeUgtYlRnZTY1VEp2Q1RQVVVoUTJsWUxfNTk4T1pLRGUyZGR0SURucUxLZ2Ntb1RyM1NEaVdGMUw5NjRvSUZ0ZjBweWFGSmQtS1ZSVTdGYXY4TmtDUlIwZ0pLTUhvczNiZm1WN3A3YnpKLVcyT1A0NnVJU3lVSjjSAeABQVVfeXFMTnFfSlBaanQ1bGUzVDNna3NLSWZHdDg0TjNfbmItRm1HZExfeEJwLVI1REFyZnNtYjhHeWNDVXl2N25EUTVhcW1xenQwc3hfVnVlWU5UaG5TU1g5UE54UGtVUDlkV2gzQlJMLVl1d25uOVFaRE0wS0lob2IyZS1wVmVseGlXQnVGM0FLcWRxeWxnLUk0bEpRM0FFcW9DYUNGYnR3eUQ5WmNZQklGWHBBWV9zcTczY09xeHhMN05hRFpHUDc5NTdnRGFXVHJQOHFfcm5iYnpuRmFJMGQtaVo1dkQ?oc=5,2025-11-23 09:53:19,neutral,0.9418504238128662
LTIM.NS,Google News,Market cap of India's top 7 companies up ₹1.28L crore - NewsBytes,https://news.google.com/rss/articles/CBMiowFBVV95cUxONGhtYWQxM0RidGduRHQwdXFEakJ3V0gwaFUybVBzb1V3Sml3R2Eya0Z1YUV1WTZKTUd0anNVSEwwSUlWbXNkYzB6bEk0SWpIektuTjFoeXdtcDRFRnF0Sk10Yk1UZ0RUQmJVNWJ3M1BXdjFmVHZobEctNk5HRlI1Y1Vrc1BiUXNMV19LRXE1NXFtOE9PT0RCWXIxb3BZa0lqTkd3?oc=5,2025-11-23 11:55:12,positive,0.9243703484535217
LTIM.NS,Google News,Paramita Heritage student excels in Nat’l Level CBSE science challenge - The Hans India,https://news.google.com/rss/articles/CBMitwFBVV95cUxNNzUya0dPbFU0M1VoU3l6R1M5WTFVZWlPdU5tV3ZmYVRLSy13Yk5zU05vY3FaeVZTS2RnTVQ3emtsMG5nVGpLNTdqR0Jia2NjQy1ELU5Hc3pkY2xTWUg2ZEUxXzBodFRicFEybmJfbi1NY0Y1VWdEWjVwOTVnTmotMGg3aUh1SWo0MFRvNElhOF8xX1A3WFlmdlFUczQ2YUVkUkxtZzJDT3gxdm1zWW41bE82ZXhTODDSAbwBQVVfeXFMUG45cF8wdmFYMG5KMlNjRmhGbDNfOGx1QlREMXFqWUFzWUxlWGNrMWFQc1FRaUhESjRBZ3ctdVM1M2U4eW5ZSVNaMUxnVW03TFZzWVJXRjQwSllJTzdwS2lLOGxfQXFCRnRPTHFFSU1tUXBrRU1oNkJVbkFxVmtHUnNLRzdwck9vYUg0SUhzLU1IUEJnbFZ0YTRKZFRoUzAtdm9wNlhpbDdCMFJNa2oybVZLT2Z0dG5UUkw2eGI?oc=5,2025-11-23 04:54:28,positive,0.8053194880485535
LTIM.NS,Google News,Canon RF24-70mm F2.8 L IS USM Lens Gets 12% Black Friday Discount on Amazon - Y.M.Cinema Magazine,https://news.google.com/rss/articles/CBMigwFBVV95cUxQLWtYVmhSNmF1Nk9fVHhwVUdvWGN4NmUtd2oyZVdlWVJqZDEyWWZjWGJpcHc5NmRZNE9uUlZydXBObkVGMDI5MW5CUkxrU29iN2JVcV8yZlRoN2dCX2UzdTM5V1RtemR4SWptX3pwM0tsZ2kzaGdJREhXS0p2cGZCWGFCRQ?oc=5,2025-11-23 09:45:04,positive,0.86167973279953
LTIM.NS,Google News,Int’l Gita Mahotsav: Rajnath to unveil Haryana Pavilion on Nov 24 - MillenniumPost,https://news.google.com/rss/articles/CBMiqwFBVV95cUxNbXJzaWxabzJsV0hES0lldm9UcTN2LV9mU1dxdXR4VERxTWpCQUNRdmdzMTQ0TWZlTnMzVVJ2NGFLaWVNQkd4SGlyQlVFZE9rSWpFZ1ZISHdRZXVxcGtFNjZLLTVtTGg0dy1GOWdza0E5NWYycHJ6SVZSTmZYMTBGLUVienR4Ujh6YWJoUVg2aXRLU21ZRHd6d0IwbjFsYWFOVG5qS1FRMU1NWWfSAbABQVVfeXFMTlpCaFoyaUhZcEhCN1VEaXZfQWtmWm9ic0FGYURINkxwM2ZpM0ptN3pXVXpIR1BfaklNdTZSSzJvZmFRSVdzWEpBb2N0QnJIQU5leHRDWkR0c3hMWFltX1dHb3EyRjVER0Njb3hheHZhb3pTLWpYbGVjdUNlM0Z0MGM0MVJ4MFJmTm1UbngtX2wtTTJrUFJjNEw0TmJJYnluci1kS1Q5MHJiNjVpTml5LTc?oc=5,2025-11-22 19:33:07,neutral,0.8972145318984985
LTIM.NS,Google News,"Int’l meet on maths, tech & AI on at SASTRA - The Times of India",https://news.google.com/rss/articles/CBMiswFBVV95cUxOU19oSnl1dUtSTTFkU2hqTFZnbjJiZ3FFZWFhU1lFNHhrc2k2bnZsc2s3MUJOX0lTdDJHMHI5YjQzTW1NeHlCY2htN3E3dFVpLW83a3ZRZ3NuV252cnhjZ0FXN0RNMDJGVHFCamdxREdacE9oaURKajVHZlNmcW1qME5VeTBLWHlWcGFQakdodm8taVBJcVctWUlfV21sWkNmWnVZaHhqeGZ5QXE0RUhDalNnRdIBuAFBVV95cUxPTGdWZDJhd0FZRVlubW9VZ0lkT1E1U0dQcmIyNW9VR3h5TEpSVm84czF5MWRWZFBBNVNEdWx2Zmppa0xiU1I2c0VLck8wMHR4bzlFblB3djV4YXhyT2ZKMGdGMlBTaEZfa0Q5bUE3R29OZG1tN1F4MDVYZ3E4QWFDWXlKWFVwSDFWUnFfaTJTTlhYQU94Q2N6QTFJMmtlWDlNbVlGN0dzcnZjV2pHUGcxTmJad0dTZUlt?oc=5,2025-11-22 17:30:00,neutral,0.9275639057159424
